order_id,date,day_of_week,pickup_area,delivery_area,distance_km,dabbawala_id,customer_type,tiffin_type,tiffin_weight_kg,delivery_time_min,status,payment_mode,charge_inr,monthly_subscription,customer_feedback,return_reason
DBW00001,2022-03-07,Monday,Andheri,Chembur,6.04,DW144,Residential,Non-Veg,1.52,67,Delayed,Digital,93.08,Yes,nan,
DBW00002,2023-07-19,Wednesday,Kurla,Sion,6.02,DW123,Residential,Non-Veg,1.87,34,Delivered,Monthly-Pre-paid,63.27,No,Excellent,
DBW00003,2023-04-23,Sunday,Andheri,Churchgate,16.07,DW105,Hospital,Mix,1.42,37,Delivered,Cash,141.69,No,Good,
DBW00004,2022-11-17,Thursday,Vikhroli,Churchgate,7.83,DW034,School,Mix,1.43,51,Delivered,Cash,107.47,Yes,Poor,
DBW00005,2022-11-13,Sunday,Chembur,Vikhroli,11.89,DW140,Corporate,Mix,1.28,39,Delivered,Monthly-Pre-paid,94.58,No,Excellent,
DBW00006,2023-09-19,Tuesday,Lower Parel,Vikhroli,9.96,DW027,Corporate,Veg,2.27,59,Delayed,Monthly-Pre-paid,112.0,Yes,Good,
DBW00007,2022-03-04,Friday,Worli,Vikhroli,7.45,DW037,Corporate,Veg,2.39,42,Delivered,Digital,111.1,Yes,Good,
DBW00008,2023-05-25,Thursday,Thane,Ghatkopar,19.22,DW011,Corporate,Mix,1.81,70,Delivered,Monthly-Pre-paid,194.48,No,Excellent,
DBW00009,2022-05-28,Saturday,Churchgate,Chembur,17.19,DW044,Corporate,Veg,1.53,61,Delayed,Digital,178.07,Yes,Excellent,
DBW00010,2022-03-10,Thursday,Churchgate,Borivali,9.51,DW050,Corporate,Veg,0.95,48,Delivered,Digital,105.35,No,Excellent,
DBW00011,2023-01-20,Friday,Dadar,Ghatkopar,7.13,DW120,Corporate,Non-Veg,2.2,48,Delivered,Monthly-Pre-paid,80.92,Yes,Excellent,
DBW00012,2023-12-14,Thursday,Thane,Chembur,7.18,DW049,Hospital,Non-Veg,1.46,31,Delivered,Digital,119.78,Yes,nan,
DBW00013,2023-06-22,Thursday,Andheri,Andheri,0.5,DW144,Corporate,Veg,1.24,23,Delivered,Monthly-Pre-paid,52.5,No,Excellent,
DBW00014,2023-07-10,Monday,Vikhroli,Andheri,10.0,DW046,Hospital,Mix,1.81,44,Delivered,Monthly-Pre-paid,122.71,Yes,Excellent,
DBW00015,2023-06-08,Thursday,Vikhroli,Goregaon,12.86,DW079,Corporate,Non-Veg,1.63,43,Delivered,Monthly-Pre-paid,133.33,No,Poor,
DBW00016,2023-07-28,Friday,Churchgate,Kurla,9.29,DW089,Corporate,Non-Veg,1.04,45,Delivered,Cash,95.53,Yes,Average,
DBW00017,2023-01-10,Tuesday,Worli,Dadar,14.08,DW125,Corporate,Non-Veg,1.11,37,Delivered,Monthly-Pre-paid,158.82,No,Good,
DBW00018,2022-04-04,Monday,Churchgate,Thane,11.98,DW113,Corporate,Mix,1.97,50,Delivered,Digital,121.22,No,Good,
DBW00019,2023-09-06,Wednesday,Thane,Churchgate,10.89,DW131,Corporate,Non-Veg,1.47,42,Delivered,Cash,118.27,No,Good,
